"Uninsured adults ages 19–64"
"Uninsured adults"
time_period,state,population,cohort,point_estimate
2018,Montana,income,"200%-399% FPL",11.7
2019,Montana,income,"200%-399% FPL",12
2020,Montana,income,"200%-399% FPL",13.6
2021,Montana,income,"200%-399% FPL",11.1
2012,Nebraska,income,"200%-399% FPL",12.8
2013,Nebraska,income,"200%-399% FPL",11.5
2014,Nebraska,income,"200%-399% FPL",9.9
2015,Nebraska,income,"200%-399% FPL",8.5
2016,Nebraska,income,"200%-399% FPL",10.9
2017,Nebraska,income,"200%-399% FPL",10.5
2018,Nebraska,income,"200%-399% FPL",9.8
2019,Nebraska,income,"200%-399% FPL",10.2
2020,Nebraska,income,"200%-399% FPL",11.8
2021,Nebraska,income,"200%-399% FPL",9.4
2012,Nevada,income,"200%-399% FPL",25.3
2013,Nevada,income,"200%-399% FPL",23.4
2014,Nevada,income,"200%-399% FPL",18.4
2015,Nevada,income,"200%-399% FPL",16.2
2016,Nevada,income,"200%-399% FPL",15.3
2017,Nevada,income,"200%-399% FPL",14.9
2018,Nevada,income,"200%-399% FPL",14.9
2019,Nevada,income,"200%-399% FPL",16.5
2020,Nevada,income,"200%-399% FPL",17.7
2021,Nevada,income,"200%-399% FPL",17.7
2012,"New Hampshire",income,"200%-399% FPL",20.2
2013,"New Hampshire",income,"200%-399% FPL",20.2
2014,"New Hampshire",income,"200%-399% FPL",16.5
2015,"New Hampshire",income,"200%-399% FPL",13.8
2016,"New Hampshire",income,"200%-399% FPL",13.2
2017,"New Hampshire",income,"200%-399% FPL",12.3
2018,"New Hampshire",income,"200%-399% FPL",11.6
2019,"New Hampshire",income,"200%-399% FPL",12.7
2020,"New Hampshire",income,"200%-399% FPL",12.3
2021,"New Hampshire",income,"200%-399% FPL",10.6
2012,"New Jersey",income,"200%-399% FPL",23.2
2013,"New Jersey",income,"200%-399% FPL",23.8
2014,"New Jersey",income,"200%-399% FPL",20.1
2015,"New Jersey",income,"200%-399% FPL",16.6
2016,"New Jersey",income,"200%-399% FPL",14.9
2017,"New Jersey",income,"200%-399% FPL",15.2
2018,"New Jersey",income,"200%-399% FPL",14.9
2019,"New Jersey",income,"200%-399% FPL",17.7
2020,"New Jersey",income,"200%-399% FPL",15.6
2021,"New Jersey",income,"200%-399% FPL",14.5
2012,"New Mexico",income,"200%-399% FPL",24.3
2013,"New Mexico",income,"200%-399% FPL",26.7
2014,"New Mexico",income,"200%-399% FPL",19.1
2015,"New Mexico",income,"200%-399% FPL",16.2
2016,"New Mexico",income,"200%-399% FPL",12.7
2017,"New Mexico",income,"200%-399% FPL",14.9
2018,"New Mexico",income,"200%-399% FPL",14.3
2019,"New Mexico",income,"200%-399% FPL",16.5
2020,"New Mexico",income,"200%-399% FPL",14.4
2021,"New Mexico",income,"200%-399% FPL",15.6
2012,"New York",income,"200%-399% FPL",18.5
2013,"New York",income,"200%-399% FPL",18.6
2014,"New York",income,"200%-399% FPL",14
2015,"New York",income,"200%-399% FPL",12.2
2016,"New York",income,"200%-399% FPL",10.6
2017,"New York",income,"200%-399% FPL",10.4
2018,"New York",income,"200%-399% FPL",10
2019,"New York",income,"200%-399% FPL",10.5
2020,"New York",income,"200%-399% FPL",9.9
2021,"New York",income,"200%-399% FPL",9.9
2012,"North Carolina",income,"200%-399% FPL",19.6
2013,"North Carolina",income,"200%-399% FPL",18.9
2014,"North Carolina",income,"200%-399% FPL",15.6
2015,"North Carolina",income,"200%-399% FPL",13.5
2016,"North Carolina",income,"200%-399% FPL",14.1
2017,"North Carolina",income,"200%-399% FPL",14.2
2018,"North Carolina",income,"200%-399% FPL",15.5
2019,"North Carolina",income,"200%-399% FPL",17
2020,"North Carolina",income,"200%-399% FPL",16.3
2021,"North Carolina",income,"200%-399% FPL",16.5
2012,"North Dakota",income,"200%-399% FPL",16.7
2013,"North Dakota",income,"200%-399% FPL",14.8
2014,"North Dakota",income,"200%-399% FPL",11.1
2015,"North Dakota",income,"200%-399% FPL",8.5
2016,"North Dakota",income,"200%-399% FPL",10
2017,"North Dakota",income,"200%-399% FPL",9.9
2018,"North Dakota",income,"200%-399% FPL",10.6
2019,"North Dakota",income,"200%-399% FPL",9.1
2020,"North Dakota",income,"200%-399% FPL",9
2021,"North Dakota",income,"200%-399% FPL",9.4
2012,Ohio,income,"200%-399% FPL",14.9
2013,Ohio,income,"200%-399% FPL",14.6
2014,Ohio,income,"200%-399% FPL",11.7
2015,Ohio,income,"200%-399% FPL",9.3
2016,Ohio,income,"200%-399% FPL",8.6
2017,Ohio,income,"200%-399% FPL",8.5
2018,Ohio,income,"200%-399% FPL",10
2019,Ohio,income,"200%-399% FPL",11.1
2020,Ohio,income,"200%-399% FPL",11
2021,Ohio,income,"200%-399% FPL",11
2012,Oklahoma,income,"200%-399% FPL",23.5
2013,Oklahoma,income,"200%-399% FPL",21.1
2014,Oklahoma,income,"200%-399% FPL",18
2015,Oklahoma,income,"200%-399% FPL",18.4
2016,Oklahoma,income,"200%-399% FPL",18.2
2017,Oklahoma,income,"200%-399% FPL",17.3
2018,Oklahoma,income,"200%-399% FPL",18.4
2019,Oklahoma,income,"200%-399% FPL",20.8
2020,Oklahoma,income,"200%-399% FPL",21.1
2021,Oklahoma,income,"200%-399% FPL",19.7
2012,Oregon,income,"200%-399% FPL",19.3
2013,Oregon,income,"200%-399% FPL",20.3
2014,Oregon,income,"200%-399% FPL",14.1
2015,Oregon,income,"200%-399% FPL",10.6
2016,Oregon,income,"200%-399% FPL",9
2017,Oregon,income,"200%-399% FPL",12
2018,Oregon,income,"200%-399% FPL",12.9
2019,Oregon,income,"200%-399% FPL",12.1
2020,Oregon,income,"200%-399% FPL",11.6
2021,Oregon,income,"200%-399% FPL",11.1
2012,Pennsylvania,income,"200%-399% FPL",13.9
2013,Pennsylvania,income,"200%-399% FPL",13.3
2014,Pennsylvania,income,"200%-399% FPL",11.9
2015,Pennsylvania,income,"200%-399% FPL",9.4
2016,Pennsylvania,income,"200%-399% FPL",9.2
2017,Pennsylvania,income,"200%-399% FPL",8.7
2018,Pennsylvania,income,"200%-399% FPL",8.9
2019,Pennsylvania,income,"200%-399% FPL",8.9
2020,Pennsylvania,income,"200%-399% FPL",10.6
2021,Pennsylvania,income,"200%-399% FPL",8.9
2012,"Rhode Island",income,"200%-399% FPL",17.6
2013,"Rhode Island",income,"200%-399% FPL",19.1
2014,"Rhode Island",income,"200%-399% FPL",10
2015,"Rhode Island",income,"200%-399% FPL",10
2016,"Rhode Island",income,"200%-399% FPL",9.3
2017,"Rhode Island",income,"200%-399% FPL",7.8
2018,"Rhode Island",income,"200%-399% FPL",8
2019,"Rhode Island",income,"200%-399% FPL",8.6
2020,"Rhode Island",income,"200%-399% FPL",6.7
2021,"Rhode Island",income,"200%-399% FPL",9
2012,"South Carolina",income,"200%-399% FPL",19.2
2013,"South Carolina",income,"200%-399% FPL",20
2014,"South Carolina",income,"200%-399% FPL",16.1
2015,"South Carolina",income,"200%-399% FPL",13.9
2016,"South Carolina",income,"200%-399% FPL",13
2017,"South Carolina",income,"200%-399% FPL",14.7
2018,"South Carolina",income,"200%-399% FPL",15
2019,"South Carolina",income,"200%-399% FPL",15.6
2020,"South Carolina",income,"200%-399% FPL",14.4
2021,"South Carolina",income,"200%-399% FPL",14.5
2012,"South Dakota",income,"200%-399% FPL",12.7
2013,"South Dakota",income,"200%-399% FPL",13.1
2014,"South Dakota",income,"200%-399% FPL",10.8
2015,"South Dakota",income,"200%-399% FPL",12
2016,"South Dakota",income,"200%-399% FPL",10.6
2017,"South Dakota",income,"200%-399% FPL",12.9
2018,"South Dakota",income,"200%-399% FPL",10.6
2019,"South Dakota",income,"200%-399% FPL",12.9
2020,"South Dakota",income,"200%-399% FPL",12.2
2021,"South Dakota",income,"200%-399% FPL",11.9
2012,Tennessee,income,"200%-399% FPL",16.2
2013,Tennessee,income,"200%-399% FPL",16.4
2014,Tennessee,income,"200%-399% FPL",14.7
2015,Tennessee,income,"200%-399% FPL",13
2016,Tennessee,income,"200%-399% FPL",12.9
2017,Tennessee,income,"200%-399% FPL",12.2
2018,Tennessee,income,"200%-399% FPL",13.9
2019,Tennessee,income,"200%-399% FPL",13.8
2020,Tennessee,income,"200%-399% FPL",14.3
2021,Tennessee,income,"200%-399% FPL",14.4
2012,Texas,income,"200%-399% FPL",29.2
2013,Texas,income,"200%-399% FPL",29
2014,Texas,income,"200%-399% FPL",24.4
2015,Texas,income,"200%-399% FPL",22.6
2016,Texas,income,"200%-399% FPL",22.3
2017,Texas,income,"200%-399% FPL",24.3
2018,Texas,income,"200%-399% FPL",24.8
2019,Texas,income,"200%-399% FPL",26.2
2020,Texas,income,"200%-399% FPL",25.7
2021,Texas,income,"200%-399% FPL",26.1
2012,Utah,income,"200%-399% FPL",14.8
2013,Utah,income,"200%-399% FPL",14.8
2014,Utah,income,"200%-399% FPL",14.3
2015,Utah,income,"200%-399% FPL",13.3
2016,Utah,income,"200%-399% FPL",10.4
2017,Utah,income,"200%-399% FPL",10.7
2018,Utah,income,"200%-399% FPL",11.3
2019,Utah,income,"200%-399% FPL",13
2020,Utah,income,"200%-399% FPL",10.9
2021,Utah,income,"200%-399% FPL",13.4
2012,Vermont,income,"200%-399% FPL",12.7
2013,Vermont,income,"200%-399% FPL",11.7
2014,Vermont,income,"200%-399% FPL",8.3
2015,Vermont,income,"200%-399% FPL",9.4
2016,Vermont,income,"200%-399% FPL",8.2
2017,Vermont,income,"200%-399% FPL",8.2
2018,Vermont,income,"200%-399% FPL",7
2019,Vermont,income,"200%-399% FPL",10.7
2020,Vermont,income,"200%-399% FPL",10.2
2021,Vermont,income,"200%-399% FPL",8
2012,Virginia,income,"200%-399% FPL",20
2013,Virginia,income,"200%-399% FPL",18.4
2014,Virginia,income,"200%-399% FPL",15.5
2015,Virginia,income,"200%-399% FPL",13.5
2016,Virginia,income,"200%-399% FPL",13.4
2017,Virginia,income,"200%-399% FPL",15.1
2018,Virginia,income,"200%-399% FPL",14.3
2019,Virginia,income,"200%-399% FPL",14.6
2020,Virginia,income,"200%-399% FPL",13.4
2021,Virginia,income,"200%-399% FPL",12.9
2012,Washington,income,"200%-399% FPL",21
2013,Washington,income,"200%-399% FPL",20.1
2014,Washington,income,"200%-399% FPL",14.7
2015,Washington,income,"200%-399% FPL",10.9
2016,Washington,income,"200%-399% FPL",11.6
2017,Washington,income,"200%-399% FPL",10.8
2018,Washington,income,"200%-399% FPL",13.4
2019,Washington,income,"200%-399% FPL",14.1
2020,Washington,income,"200%-399% FPL",12.9
2021,Washington,income,"200%-399% FPL",13.1
2012,"West Virginia",income,"200%-399% FPL",17.2
2013,"West Virginia",income,"200%-399% FPL",17.9
2014,"West Virginia",income,"200%-399% FPL",13.8
2015,"West Virginia",income,"200%-399% FPL",7.8
2016,"West Virginia",income,"200%-399% FPL",7.8
2017,"West Virginia",income,"200%-399% FPL",9.1
2018,"West Virginia",income,"200%-399% FPL",10.2
2019,"West Virginia",income,"200%-399% FPL",10.9
2020,"West Virginia",income,"200%-399% FPL",10.2
2021,"West Virginia",income,"200%-399% FPL",11.7
2012,Wisconsin,income,"200%-399% FPL",12.6
2013,Wisconsin,income,"200%-399% FPL",12
2014,Wisconsin,income,"200%-399% FPL",9.7
2015,Wisconsin,income,"200%-399% FPL",7.7
2016,Wisconsin,income,"200%-399% FPL",7.8
2017,Wisconsin,income,"200%-399% FPL",8.1
2018,Wisconsin,income,"200%-399% FPL",9
2019,Wisconsin,income,"200%-399% FPL",9.7
2020,Wisconsin,income,"200%-399% FPL",9.2
2021,Wisconsin,income,"200%-399% FPL",8.9
2012,Wyoming,income,"200%-399% FPL",19.6
2013,Wyoming,income,"200%-399% FPL",16.7
2014,Wyoming,income,"200%-399% FPL",17.2
2015,Wyoming,income,"200%-399% FPL",14.5
2016,Wyoming,income,"200%-399% FPL",16.3
2017,Wyoming,income,"200%-399% FPL",15.4
2018,Wyoming,income,"200%-399% FPL",16.3
2019,Wyoming,income,"200%-399% FPL",18.9
2020,Wyoming,income,"200%-399% FPL",15.3
2021,Wyoming,income,"200%-399% FPL",14.7
2012,"United States",income,"400% FPL and above",6.5
2013,"United States",income,"400% FPL and above",6.7
2014,"United States",income,"400% FPL and above",5.3
2015,"United States",income,"400% FPL and above",4.4
2016,"United States",income,"400% FPL and above",4.1
2017,"United States",income,"400% FPL and above",4.5
2018,"United States",income,"400% FPL and above",4.8
2019,"United States",income,"400% FPL and above",5.2
2020,"United States",income,"400% FPL and above",5.2
2021,"United States",income,"400% FPL and above",5
2012,Alabama,income,"400% FPL and above",5
2013,Alabama,income,"400% FPL and above",5.4
2014,Alabama,income,"400% FPL and above",5.1
2015,Alabama,income,"400% FPL and above",3.8
2016,Alabama,income,"400% FPL and above",4.1
2017,Alabama,income,"400% FPL and above",4.7
2018,Alabama,income,"400% FPL and above",4.9
2019,Alabama,income,"400% FPL and above",5.2
2020,Alabama,income,"400% FPL and above",6
2021,Alabama,income,"400% FPL and above",4.8
2012,Alaska,income,"400% FPL and above",13.6
2013,Alaska,income,"400% FPL and above",12.1
2014,Alaska,income,"400% FPL and above",9.6
2015,Alaska,income,"400% FPL and above",10.5
2016,Alaska,income,"400% FPL and above",10.1
2017,Alaska,income,"400% FPL and above",11.5
2018,Alaska,income,"400% FPL and above",8.5
2019,Alaska,income,"400% FPL and above",10.7
2020,Alaska,income,"400% FPL and above",10.6
2021,Alaska,income,"400% FPL and above",9.1
2012,Arizona,income,"400% FPL and above",7.4
2013,Arizona,income,"400% FPL and above",7.3
2014,Arizona,income,"400% FPL and above",6.6
2015,Arizona,income,"400% FPL and above",5.7
2016,Arizona,income,"400% FPL and above",5.2
2017,Arizona,income,"400% FPL and above",5.6
2018,Arizona,income,"400% FPL and above",6.2
2019,Arizona,income,"400% FPL and above",6.5
2020,Arizona,income,"400% FPL and above",7.1
2021,Arizona,income,"400% FPL and above",7.3
2012,Arkansas,income,"400% FPL and above",7.2
2013,Arkansas,income,"400% FPL and above",8.6
2014,Arkansas,income,"400% FPL and above",5.3
2015,Arkansas,income,"400% FPL and above",4.6
2016,Arkansas,income,"400% FPL and above",4.6
2017,Arkansas,income,"400% FPL and above",4.6
2018,Arkansas,income,"400% FPL and above",4.9
2019,Arkansas,income,"400% FPL and above",3.9
2020,Arkansas,income,"400% FPL and above",5.1
2021,Arkansas,income,"400% FPL and above",5.6
2012,California,income,"400% FPL and above",7.8
2013,California,income,"400% FPL and above",8.2
2014,California,income,"400% FPL and above",6
2015,California,income,"400% FPL and above",4.3
2016,California,income,"400% FPL and above",3.7
2017,California,income,"400% FPL and above",4.1
2018,California,income,"400% FPL and above",4.4
2019,California,income,"400% FPL and above",4.7
2020,California,income,"400% FPL and above",4.4
2021,California,income,"400% FPL and above",4.2
2012,Colorado,income,"400% FPL and above",5.9
2013,Colorado,income,"400% FPL and above",6.1
2014,Colorado,income,"400% FPL and above",5.4
2015,Colorado,income,"400% FPL and above",4.1
2016,Colorado,income,"400% FPL and above",4
2017,Colorado,income,"400% FPL and above",4
2018,Colorado,income,"400% FPL and above",4.6
2019,Colorado,income,"400% FPL and above",4.7
2020,Colorado,income,"400% FPL and above",5.1
2021,Colorado,income,"400% FPL and above",5.2
2012,Connecticut,income,"400% FPL and above",5
2013,Connecticut,income,"400% FPL and above",5.6
2014,Connecticut,income,"400% FPL and above",4.2
2015,Connecticut,income,"400% FPL and above",3.5
2016,Connecticut,income,"400% FPL and above",2.9
2017,Connecticut,income,"400% FPL and above",3.3
2018,Connecticut,income,"400% FPL and above",3.4
2019,Connecticut,income,"400% FPL and above",3.6
2020,Connecticut,income,"400% FPL and above",3.2
2021,Connecticut,income,"400% FPL and above",3.8
2012,Delaware,income,"400% FPL and above",3.9
2013,Delaware,income,"400% FPL and above",5.3
2014,Delaware,income,"400% FPL and above",4.4
2015,Delaware,income,"400% FPL and above",4
2016,Delaware,income,"400% FPL and above",3.1
2017,Delaware,income,"400% FPL and above",2.8
2018,Delaware,income,"400% FPL and above",4.2
2019,Delaware,income,"400% FPL and above",4.2
2020,Delaware,income,"400% FPL and above",4.8
2021,Delaware,income,"400% FPL and above",4.7
2012,"District of Columbia",income,"400% FPL and above",3.9
2013,"District of Columbia",income,"400% FPL and above",4.8
2014,"District of Columbia",income,"400% FPL and above",3.7
2015,"District of Columbia",income,"400% FPL and above",2.1
2016,"District of Columbia",income,"400% FPL and above",1.9
2017,"District of Columbia",income,"400% FPL and above",2.2
2018,"District of Columbia",income,"400% FPL and above",1.8
2019,"District of Columbia",income,"400% FPL and above",1.8
2020,"District of Columbia",income,"400% FPL and above",1.6
2021,"District of Columbia",income,"400% FPL and above",1.9
2012,Florida,income,"400% FPL and above",10.2
2013,Florida,income,"400% FPL and above",10.7
2014,Florida,income,"400% FPL and above",8.6
2015,Florida,income,"400% FPL and above",7.2
2016,Florida,income,"400% FPL and above",6.7
2017,Florida,income,"400% FPL and above",7.7
2018,Florida,income,"400% FPL and above",8.4
2019,Florida,income,"400% FPL and above",8.6
2020,Florida,income,"400% FPL and above",8.7
2021,Florida,income,"400% FPL and above",8.4
2012,Georgia,income,"400% FPL and above",7.4
2013,Georgia,income,"400% FPL and above",8.1
2014,Georgia,income,"400% FPL and above",6.2
2015,Georgia,income,"400% FPL and above",5.5
2016,Georgia,income,"400% FPL and above",5.6
2017,Georgia,income,"400% FPL and above",6.5
2018,Georgia,income,"400% FPL and above",7.3
2019,Georgia,income,"400% FPL and above",6.7
2020,Georgia,income,"400% FPL and above",7.5
2021,Georgia,income,"400% FPL and above",6.8
2012,Hawaii,income,"400% FPL and above",3.5
2013,Hawaii,income,"400% FPL and above",4.5
2014,Hawaii,income,"400% FPL and above",2.9
2015,Hawaii,income,"400% FPL and above",2.6
2016,Hawaii,income,"400% FPL and above",2.2
2017,Hawaii,income,"400% FPL and above",2.8
2018,Hawaii,income,"400% FPL and above",2.9
2019,Hawaii,income,"400% FPL and above",3.6
2020,Hawaii,income,"400% FPL and above",2.8
2021,Hawaii,income,"400% FPL and above",2.6
2012,Idaho,income,"400% FPL and above",7.5
2013,Idaho,income,"400% FPL and above",7.1
2014,Idaho,income,"400% FPL and above",7.1
2015,Idaho,income,"400% FPL and above",4.6
2016,Idaho,income,"400% FPL and above",6
2017,Idaho,income,"400% FPL and above",7.3
2018,Idaho,income,"400% FPL and above",6.1
2019,Idaho,income,"400% FPL and above",8.2
2020,Idaho,income,"400% FPL and above",7.3
2021,Idaho,income,"400% FPL and above",6.7
2012,Illinois,income,"400% FPL and above",5.7
2013,Illinois,income,"400% FPL and above",5.9
2014,Illinois,income,"400% FPL and above",4.7
2015,Illinois,income,"400% FPL and above",3.2
2016,Illinois,income,"400% FPL and above",2.9
2017,Illinois,income,"400% FPL and above",3.2
2018,Illinois,income,"400% FPL and above",3.6
2019,Illinois,income,"400% FPL and above",4.4
2020,Illinois,income,"400% FPL and above",4.3
2021,Illinois,income,"400% FPL and above",4.5
2012,Indiana,income,"400% FPL and above",6.1
2013,Indiana,income,"400% FPL and above",5.8
2014,Indiana,income,"400% FPL and above",4.9
2015,Indiana,income,"400% FPL and above",4.2
2016,Indiana,income,"400% FPL and above",3.5
2017,Indiana,income,"400% FPL and above",4.3
2018,Indiana,income,"400% FPL and above",4.6
2019,Indiana,income,"400% FPL and above",4.8
2020,Indiana,income,"400% FPL and above",3.9
2021,Indiana,income,"400% FPL and above",4.2
2012,Iowa,income,"400% FPL and above",3.2
2013,Iowa,income,"400% FPL and above",3.6
2014,Iowa,income,"400% FPL and above",2.4
2015,Iowa,income,"400% FPL and above",1.9
2016,Iowa,income,"400% FPL and above",2.4
2017,Iowa,income,"400% FPL and above",2
2018,Iowa,income,"400% FPL and above",2.4
2019,Iowa,income,"400% FPL and above",2.9
2020,Iowa,income,"400% FPL and above",2.8
2021,Iowa,income,"400% FPL and above",3
2012,Kansas,income,"400% FPL and above",4.5
2013,Kansas,income,"400% FPL and above",4.7
2014,Kansas,income,"400% FPL and above",4
2015,Kansas,income,"400% FPL and above",4.4
2016,Kansas,income,"400% FPL and above",3.8
2017,Kansas,income,"400% FPL and above",3.1
2018,Kansas,income,"400% FPL and above",3.9
2019,Kansas,income,"400% FPL and above",4.6
2020,Kansas,income,"400% FPL and above",5.2
2021,Kansas,income,"400% FPL and above",4.6
2012,Kentucky,income,"400% FPL and above",5
2013,Kentucky,income,"400% FPL and above",6.2
2014,Kentucky,income,"400% FPL and above",3.9
2015,Kentucky,income,"400% FPL and above",2.9
2016,Kentucky,income,"400% FPL and above",2.5
2017,Kentucky,income,"400% FPL and above",2.5
2018,Kentucky,income,"400% FPL and above",3.1
2019,Kentucky,income,"400% FPL and above",3.9
2020,Kentucky,income,"400% FPL and above",3.4
2021,Kentucky,income,"400% FPL and above",3.6
2012,Louisiana,income,"400% FPL and above",8.3
2013,Louisiana,income,"400% FPL and above",9.7
2014,Louisiana,income,"400% FPL and above",7.1
2015,Louisiana,income,"400% FPL and above",5.7
2016,Louisiana,income,"400% FPL and above",5.5
2017,Louisiana,income,"400% FPL and above",5.5
2018,Louisiana,income,"400% FPL and above",5.9
2019,Louisiana,income,"400% FPL and above",5.7
2020,Louisiana,income,"400% FPL and above",5.3
2021,Louisiana,income,"400% FPL and above",5.3
2012,Maine,income,"400% FPL and above",5.2
2013,Maine,income,"400% FPL and above",6
2014,Maine,income,"400% FPL and above",5.2
2015,Maine,income,"400% FPL and above",4.8
2016,Maine,income,"400% FPL and above",4.3
2017,Maine,income,"400% FPL and above",4
2018,Maine,income,"400% FPL and above",5.3
2019,Maine,income,"400% FPL and above",5.4
2020,Maine,income,"400% FPL and above",6.1
2021,Maine,income,"400% FPL and above",3.1
2012,Maryland,income,"400% FPL and above",5.3
2013,Maryland,income,"400% FPL and above",6.2
2014,Maryland,income,"400% FPL and above",4.2
2015,Maryland,income,"400% FPL and above",3
2016,Maryland,income,"400% FPL and above",3.3
2017,Maryland,income,"400% FPL and above",3.5
2018,Maryland,income,"400% FPL and above",3.5
2019,Maryland,income,"400% FPL and above",3.9
2020,Maryland,income,"400% FPL and above",3.6
2021,Maryland,income,"400% FPL and above",3.7
2012,Massachusetts,income,"400% FPL and above",2.3
2013,Massachusetts,income,"400% FPL and above",2.2
2014,Massachusetts,income,"400% FPL and above",2.1
2015,Massachusetts,income,"400% FPL and above",1.9
2016,Massachusetts,income,"400% FPL and above",1.8
2017,Massachusetts,income,"400% FPL and above",1.9
2018,Massachusetts,income,"400% FPL and above",1.9
2019,Massachusetts,income,"400% FPL and above",2.2
2020,Massachusetts,income,"400% FPL and above",1.8
2021,Massachusetts,income,"400% FPL and above",1.8
2012,Michigan,income,"400% FPL and above",5.3
2013,Michigan,income,"400% FPL and above",4.9
2014,Michigan,income,"400% FPL and above",4.1
2015,Michigan,income,"400% FPL and above",2.9
2016,Michigan,income,"400% FPL and above",2.6
2017,Michigan,income,"400% FPL and above",2.6
2018,Michigan,income,"400% FPL and above",3
2019,Michigan,income,"400% FPL and above",3.4
2020,Michigan,income,"400% FPL and above",3.6
2021,Michigan,income,"400% FPL and above",3.2
2012,Minnesota,income,"400% FPL and above",3.4
2013,Minnesota,income,"400% FPL and above",3.5
2014,Minnesota,income,"400% FPL and above",2.6
2015,Minnesota,income,"400% FPL and above",2
2016,Minnesota,income,"400% FPL and above",2.2
2017,Minnesota,income,"400% FPL and above",1.9
2018,Minnesota,income,"400% FPL and above",2.2
2019,Minnesota,income,"400% FPL and above",2.7
2020,Minnesota,income,"400% FPL and above",3.1
2021,Minnesota,income,"400% FPL and above",2.5
2012,Mississippi,income,"400% FPL and above",7.7
2013,Mississippi,income,"400% FPL and above",8.9
2014,Mississippi,income,"400% FPL and above",6.2
2015,Mississippi,income,"400% FPL and above",5.4
2016,Mississippi,income,"400% FPL and above",5.2
2017,Mississippi,income,"400% FPL and above",5.5
2018,Mississippi,income,"400% FPL and above",7.3
2019,Mississippi,income,"400% FPL and above",7.6
2020,Mississippi,income,"400% FPL and above",6.1
2021,Mississippi,income,"400% FPL and above",6.7
2012,Missouri,income,"400% FPL and above",5.5
2013,Missouri,income,"400% FPL and above",5
2014,Missouri,income,"400% FPL and above",4.5
2015,Missouri,income,"400% FPL and above",3.7
2016,Missouri,income,"400% FPL and above",3.9
2017,Missouri,income,"400% FPL and above",3.8
2018,Missouri,income,"400% FPL and above",4.6
2019,Missouri,income,"400% FPL and above",4.7
2020,Missouri,income,"400% FPL and above",5.3
2021,Missouri,income,"400% FPL and above",4.9
2012,Montana,income,"400% FPL and above",8.6
2013,Montana,income,"400% FPL and above",9.2
2014,Montana,income,"400% FPL and above",6.1
2015,Montana,income,"400% FPL and above",7.5
2016,Montana,income,"400% FPL and above",4.3
2017,Montana,income,"400% FPL and above",6.3
2018,Montana,income,"400% FPL and above",5.7
2019,Montana,income,"400% FPL and above",7.6
2020,Montana,income,"400% FPL and above",6.8
2021,Montana,income,"400% FPL and above",6.1
2012,Nebraska,income,"400% FPL and above",4
2013,Nebraska,income,"400% FPL and above",4.1
2014,Nebraska,income,"400% FPL and above",3.3
2015,Nebraska,income,"400% FPL and above",2.6
2016,Nebraska,income,"400% FPL and above",3.1
2017,Nebraska,income,"400% FPL and above",3.9
2018,Nebraska,income,"400% FPL and above",3.9
2019,Nebraska,income,"400% FPL and above",3.8
2020,Nebraska,income,"400% FPL and above",4.1
2021,Nebraska,income,"400% FPL and above",3.7
2012,Nevada,income,"400% FPL and above",9.2
2013,Nevada,income,"400% FPL and above",10.3
2014,Nevada,income,"400% FPL and above",8.5
2015,Nevada,income,"400% FPL and above",5.4
2016,Nevada,income,"400% FPL and above",6
2017,Nevada,income,"400% FPL and above",7.2
2018,Nevada,income,"400% FPL and above",7.9
2019,Nevada,income,"400% FPL and above",7.3
2020,Nevada,income,"400% FPL and above",6.7
2021,Nevada,income,"400% FPL and above",6.2
2012,"New Hampshire",income,"400% FPL and above",5.8
2013,"New Hampshire",income,"400% FPL and above",5.9
2014,"New Hampshire",income,"400% FPL and above",4.4
2015,"New Hampshire",income,"400% FPL and above",4
2016,"New Hampshire",income,"400% FPL and above",3.6
2017,"New Hampshire",income,"400% FPL and above",3.1
2018,"New Hampshire",income,"400% FPL and above",3.6
2019,"New Hampshire",income,"400% FPL and above",4.8
2020,"New Hampshire",income,"400% FPL and above",5.1
2021,"New Hampshire",income,"400% FPL and above",3.6
2012,"New Jersey",income,"400% FPL and above",6.6
2013,"New Jersey",income,"400% FPL and above",6.6
2014,"New Jersey",income,"400% FPL and above",5.4
2015,"New Jersey",income,"400% FPL and above",4.4
2016,"New Jersey",income,"400% FPL and above",4.1
2017,"New Jersey",income,"400% FPL and above",4.1
2018,"New Jersey",income,"400% FPL and above",4.2
2019,"New Jersey",income,"400% FPL and above",4.7
2020,"New Jersey",income,"400% FPL and above",4.4
2021,"New Jersey",income,"400% FPL and above",3.8
2012,"New Mexico",income,"400% FPL and above",8.9
2013,"New Mexico",income,"400% FPL and above",8.9
2014,"New Mexico",income,"400% FPL and above",7.7
2015,"New Mexico",income,"400% FPL and above",6.3
2016,"New Mexico",income,"400% FPL and above",4.8
2017,"New Mexico",income,"400% FPL and above",5.3
2018,"New Mexico",income,"400% FPL and above",5.7
2019,"New Mexico",income,"400% FPL and above",6.7
2020,"New Mexico",income,"400% FPL and above",7.8
2021,"New Mexico",income,"400% FPL and above",7.4
2012,"New York",income,"400% FPL and above",6.2
2013,"New York",income,"400% FPL and above",6.4
2014,"New York",income,"400% FPL and above",5.1
2015,"New York",income,"400% FPL and above",4.7
2016,"New York",income,"400% FPL and above",3.8
2017,"New York",income,"400% FPL and above",3.8
2018,"New York",income,"400% FPL and above",3.6
2019,"New York",income,"400% FPL and above",4.1
2020,"New York",income,"400% FPL and above",3.9
2021,"New York",income,"400% FPL and above",3.8
